column1,column2
barcadi,"Subgenre of Kwaito from Pretoria, South Africa"
lambadao,Emerging Brazilian genre
reggae do maranhao,
musica sammarinese,
sichuanese hip hop,
chinese bgm,Chinese background music
vietnamese idol pop,
uyghur pop,
minnesota metal,
bangla gojol,
santoor,
dungeon rap,Memphis rap vocals with dungeon synths
polish viral pop,
rva drill,"Drill music from Richmond, VA area"
akordeon,
slaskie piosenki,
k-pop ballad,
sda a cappella,
full on groove,
brass band pop,
zarzuela,
hardgroove,
edo old school,
dutch baroque,
viet chill rap,
south borneo indie,